"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"id-19548","51.310300772367185","12.378189965293952","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Arno-Nitzsche-Straße",2008,13,"Connewitz","31823",25,95,8
"id-8297","51.314430010312158","12.366170869088251","Platane","Platanus x acerifolia","Platanus","Richard-Lehmann-Straße",2015,6,"Connewitz","30737",10,10,1
"1162","51.363480177866734","12.375667808529904","Feld-Ahorn ''Huibers Elegant'","Acer campestre 'Huibers Elegant'","Acer","Wilhelm-Sammet-Straße",2020,1,"Gohlis-Mitte","77010",10,10,1
"id-8821","51.325430583629263","12.342886910624548","Straßen-Robinie","Robinia pseudoacacia 'Monophylla'","Robinia","Brockhausstraße",2005,16,"Schleußig","40860",50,125,3
"id-30044","51.347351292565037","12.397946591109008","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Mariannenstraße",1999,22,"Neustadt-Neuschönefeld","8212",50,80,4
"id-33254","51.363289419995006","12.385880398168370","Spitz-Ahorn 'Farlake's Green'","Acer platanoides 'Farlake's Green'","Acer","Wittenberger Straße",1999,22,"Eutritzsch","2961",50,50,1
"id-8733","51.323017125141043","12.340681956541095","Straßen-Robinie","Robinia pseudoacacia 'Monophylla'","Robinia","Brockhausstraße",2005,16,"Schleußig","40783",25,40,3
"id-44440","51.375376219458978","12.345669810823816","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Max-Liebermann-Straße",2006,15,"Möckern","59066",50,90,5
"id-19671","51.310247639127766","12.376561359913643","Spitz-Ahorn Fairview","Acer platanoides 'Fairview'","Acer","Bernhard-Göring-Straße",2015,6,"Connewitz","30665",10,25,4
"id-969","51.305091251083773","12.267458507369067","Haus-Apfel 'Gravensteiner'","Malus domestica 'Gravensteiner'","Malus","Miltitzer Allee",2017,4,"Lausen-Grünau","49285",50,75,2
"id-19529","51.310290271048657","12.378303358043732","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Arno-Nitzsche-Straße",2004,17,"Connewitz","31824",10,10,1
"id-29080","51.348147917270644","12.371844119887593","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Parthenstraße",2015,6,"Zentrum-Nord","12927",50,75,2
"id-56538","51.343903053719863","12.375077593559935","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Richard-Wagner-Straße",2013,8,"Zentrum","73386",10,60,6
"id-44330","51.375306043497865","12.343792733795029","Zierkirsche","Prunus x schmittii","Prunus","Defoestraße",2006,15,"Möckern","60668",10,10,1
"id-31220","51.346774546820917","12.408645434699363","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Mariannenstraße",1997,24,"Volkmarsdorf","8345",10,90,9
"id-44443","51.375376084873636","12.345802748724495","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Max-Liebermann-Straße",2006,15,"Möckern","59067",50,90,5
"id-25910","51.324054447959426","12.415772636750813","Chinesische Wildbirne 'Chanticleer'","Pyrus calleryana 'Chanticleer'","Pyrus","Schwarzackerstraße",2001,20,"Stötteritz","26172",10,50,5
"id-56920","51.325806715223052","12.323958570406795","Zerr-Eiche","Quercus cerris","Quercus","Markranstädter Straße",2013,8,"Plagwitz","73654",50,135,5
"1146","51.362981106473434","12.377125134997373","Feld-Ahorn ''Huibers Elegant'","Acer campestre 'Huibers Elegant'","Acer","Wilhelm-Sammet-Straße",2020,1,"Gohlis-Mitte","58668",10,10,1
"id-31514","51.346703940999063","12.411247159545850","Amberbaum 'Paarl'","Liquidambar styraciflua 'Paarl'","Liquidambar","Idastraße",2015,6,"Volkmarsdorf","5687",50,200,6
"1163","51.363583940723018","12.375361602786876","Feld-Ahorn ''Huibers Elegant'","Acer campestre 'Huibers Elegant'","Acer","Wilhelm-Sammet-Straße",2020,1,"Gohlis-Mitte","77009",10,10,1
"id-500","51.269743223280642","12.302293889523622","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Knautnaundorfer Straße",2010,11,"Knautkleeberg-Knauthain","45284",50,150,3
