"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"8987","51.3340124961","12.433777649","Pyramiden-Pappel","Populus nigra 'Italica'","Populus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13198",300,"1200","4"
"89873","51.3745922335","12.3818053317","Schmalkronige Stadt-Ulme 'Lobel'","Ulmus 'Lobel'","Ulmus","ehemalige Sportanlage Debrahof",2024,0,"Eutritzsch","G39825",300,"1200","4"
"89888","51.3403457589","12.4147215377","Rot-Esche Summit","Fraxinus pennsylvanica 'Summit'","Fraxinus","Hanns-Eisler-Straße/Bernhardstraße einschließlich Ausgleichsfläche A 12 B-Plan 750 ""Industriepark No",2021,3,"Anger-Crottendorf","84362",300,"1200","4"
"89898","51.3316941085","12.4465754671","Vogel-Kirsche","Prunus avium","Prunus","Schulstraße am Regenrückhaltebecken",2021,3,"Mölkau","G55858",300,"1200","4"
"89899","51.3316493626","12.4466505439","Vogel-Kirsche","Prunus avium","Prunus","Schulstraße am Regenrückhaltebecken",2021,3,"Mölkau","G55859",300,"1200","4"
"8990","51.3341188562","12.4332877099","Krim-Linde","Tilia x euchlora","Tilia","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13210",300,"1200","4"
"8991","51.333953803","12.4358890579","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G13221",300,"1200","4"
"8992","51.3339901217","12.4357733181","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G13222",300,"1200","4"
"89921","51.3783349403","12.4261946049","Vogel-Kirsche","Prunus avium","Prunus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83983",300,"1200","4"
"89922","51.3782481814","12.4258486793","Kirsch-Pflaume","Prunus cerasifera","Prunus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83985",300,"1200","4"
"89923","51.3782057202","12.4256686162","Haus-Apfel 'Roter Fuchs'","Malus domestica 'Roter Fuchs'","Malus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83986",300,"1200","4"
"89924","51.3781059523","12.4253409991","Haus-Apfel Rheinischer Bohnapfel","Malus domestica 'Rheinischer Bohnapfel'","Malus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83988",300,"1200","4"
"89925","51.3780539029","12.4251699401","Apfelbaum","Malus species","Malus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83989",300,"1200","4"
"89926","51.3779991279","12.4250107328","Vogel-Kirsche","Prunus avium","Prunus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83990",300,"1200","4"
"89927","51.3781273552","12.424989507","Vogel-Kirsche","Prunus avium","Prunus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83991",300,"1200","4"
"89928","51.3781792889","12.425165114","Holz-Apfel","Malus sylvestris","Malus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83992",300,"1200","4"
"89929","51.3782360565","12.4253315109","Birne","Pyrus species","Pyrus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83993",300,"1200","4"
"8993","51.3340239942","12.4356608735","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G13223",300,"1200","4"
"89930","51.378284586","12.4255036594","Holz-Birne","Pyrus pyraster","Pyrus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83994",300,"1200","4"
"89931","51.3783335757","12.4256771189","Holz-Birne","Pyrus pyraster","Pyrus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83995",300,"1200","4"
"89932","51.3784163262","12.426026834","Kirsch-Pflaume","Prunus cerasifera","Prunus","Wiesenflächen Kiebitzstraße",2021,3,"Thekla","83997",300,"1200","4"
"8994","51.3340928325","12.4354366405","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G13225",300,"1200","4"
"8995","51.3340055447","12.434666919","Winter-Linde","Tilia cordata","Tilia","Volkshain Stünz",2020,4,"Anger-Crottendorf","G13271",300,"1200","4"
