"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"15974","51.3462174729","12.3140484171","Säulen-Eiche","Quercus robur 'Fastigiata'","Quercus","Benediktusstraße",2020,4,"Leutzsch","76985",50,"50","1"
"7721","51.3337515458","12.4020283276","Späte Trauben-Kirsche","Prunus serotina","Prunus","Lene-Voigt-Park",2020,4,"Reudnitz-Thonberg","G6831",10,"195","32"
"id-2093","51.3066729347","12.2948507999","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Rapsweg",2004,20,"Großzschocher","51612",150,"150","1"
"16036","51.3404443451","12.3150847025","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Merseburger Straße",2020,4,"Altlindenau","43718",60,"60","1"
"16221","51.3436932168","12.3255009607","Winter-Linde 'Rancho'","Tilia cordata 'Rancho'","Tilia","Hempelstraße",2023,1,"Altlindenau","132662",90,"500","7"
"id-60292","51.3270566466","12.2745068542","Stiel-Eiche","Quercus robur","Quercus","Lyoner Straße",2019,5,"Schönau","76320",100,"400","4"
"15796","51.3202150783","12.2838395018","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Am Kirschberg",2023,1,"Grünau-Mitte","125962",100,"300","3"
"16002","51.3316888232","12.3257049458","Säulen-Ulme","Ulmus 'Columella'","Ulmus","Gießerstraße",2020,4,"Lindenau","76962",25,"25","1"
"15836","51.3196473936","12.285723663","Stiel-Eiche","Quercus robur","Quercus","Ulmer Straße",2023,1,"Grünau-Mitte","126140",100,"300","3"
"id-29076","51.347989869","12.3718310494","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Parthenstraße",2015,9,"Zentrum-Nord","12943",25,"75","3"
"90377","51.32521711","12.2901016275","Stiel-Eiche","Quercus robur","Quercus","WG Grünau WK 5.1-Garskestraße/Lützner Straße/Schönauer Straße",2020,4,"Schönau","G56404",100,"200","2"
"id-29122","51.3480181693","12.3717415328","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Parthenstraße",2011,13,"Zentrum-Nord","12944",20,"100","5"
"15795","51.3204323422","12.2837912369","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Parkplatz 6201",2023,1,"Grünau-Mitte","125961",100,"200","2"
"308","51.3887518307","12.32506536","Zierkirsche","Prunus x schmittii","Prunus","Sandweg",2020,4,"Lindenthal","62134",175,"2325","16"
"91096","51.3225160951","12.2758282113","Stiel-Eiche","Quercus robur","Quercus","Schönauer Welle",2023,1,"Schönau","G42762",150,"150","1"
"7626","51.3905393378","12.3184398325","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Karl-Marx-Platz",2018,6,"Lindenthal","G37720",10,"10","1"
"3323","51.3212196705","12.2763577916","Zerr-Eiche","Quercus cerris","Quercus","Kiewer Straße",2021,3,"Grünau-Nord","47487",150,"650","6"
"id-60302","51.3271962758","12.2761931433","Stiel-Eiche","Quercus robur","Quercus","Lyoner Straße",2019,5,"Schönau","76330",100,"500","5"
"90380","51.3250430021","12.2903909425","Stiel-Eiche","Quercus robur","Quercus","WG Grünau WK 5.1-Garskestraße/Lützner Straße/Schönauer Straße",2020,4,"Schönau","78025",100,"200","2"
"17095","51.331591363744224","12.333147092532585",NULL,NULL,"Sorbus","Merseburgerstraße",2024,0,"Altlindenau","osm_wababele_mbstr_32",3,"10","4"
"1465","51.3444814271","12.4101730309","Apfel-Dorn","Crataegus x lavallei","Crataegus","Konradstraße",2020,4,"Volkmarsdorf","5448",5,"5","1"
"id-57800","51.3258817301","12.2766011069","Nelken-Kirsche","Prunus serrulata 'Kanzan'","Prunus","Mühlhäuser Ring",2014,10,"Schönau","74223",80,"860","17"
"id-60105","51.313290258","12.2922261428","Platane","Platanus x acerifolia","Platanus","Ratzelstraße",2019,5,"Grünau-Siedlung","76221",150,"450","3"
"id-2038","51.3203445706","12.2552838814","Spitz-Ahorn","Acer platanoides","Acer","Auenweg",1989,35,"Miltitz","51964",50,"100","2"
"id-58898","51.3471126378","12.4076138458","Baumhasel","Corylus colurna","Corylus","Hildegardstraße",2015,9,"Volkmarsdorf","74606",60,"220","6"
"id-30647","51.3418628013","12.4059510563","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Hermann-Liebmann-Straße",2011,13,"Neustadt-Neuschönefeld","9043",40,"680","17"
"id-29322","51.3499004961","12.3725854492","Platane","Platanus x acerifolia","Platanus","Pfaffendorfer Straße",2012,12,"Zentrum-Nord","13161",20,"30","2"
"id-31083","51.3449190964","12.4164102204","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Eisenbahnstraße",2009,15,"Volkmarsdorf","8882",30,"30","1"
"id-8742","51.3240409377","12.3415099732","Straßen-Robinie","Robinia pseudoacacia 'Monophylla'","Robinia","Brockhausstraße",2001,23,"Schleußig","40811",80,"125","2"
